57901; 26; -22; -1000
57911; 23; -24; -994
57921; 24; -21; -987
57931; 31; -21; -981
57941; 31; -18; -995
57951; 23; -19; -993
57961; 21; -23; -989
57971; 28; -27; -991
57981; 25; -26; -993
57991; 26; -19; -993
58001; 27; -21; -991
58011; 29; -25; -987
58021; 27; -23; -991
58031; 26; -27; -990
58041; 29; -21; -994
58051; 26; -21; -994
58061; 26; -20; -990
58071; 27; -22; -982
58081; 27; -21; -984
58091; 25; -16; -997
58101; 28; -23; -993
58111; 24; -18; -996
58121; 27; -20; -990
58131; 31; -26; -993
58141; 30; -22; -991
58151; 24; -25; -995
58161; 34; -17; -995
58171; 27; -23; -987
58181; 22; -23; -990
58191; 25; -19; -993
58201; 34; -20; -991
58211; 28; -24; -988
58221; 25; -27; -981
58231; 33; -19; -990
58241; 23; -17; -984
58251; 25; -19; -989
58261; 28; -22; -992
58271; 23; -26; -981
58281; 21; -20; -986
58291; 25; -21; -989
58301; 30; -18; -993
58311; 30; -21; -992
58321; 26; -22; -983
58331; 25; -22; -984
58341; 23; -19; -985
58351; 29; -19; -995
58361; 29; -21; -991
58371; 23; -26; -984
58381; 24; -25; -989
58391; 29; -24; -989
58401; 29; -20; -998
58411; 27; -26; -981
58421; 22; -22; -984
58431; 32; -22; -995
58441; 30; -22; -992
58451; 24; -16; -993
58461; 22; -24; -983
58471; 34; -26; -988
58481; 39; -35; -1003
58491; 30; -21; -988
58501; 26; -19; -986
58511; 29; -24; -992
58521; 34; -25; -992
58531; 30; -27; -990
58541; 27; -21; -994
58551; 24; -16; -986
58561; 31; -19; -985
58571; 31; -20; -987
58581; 28; -25; -991
58591; 28; -21; -993
58601; 26; -24; -990
58611; 28; -21; -988
58621; 31; -21; -993
58631; 28; -25; -988
58641; 30; -17; -995
58651; 28; -26; -993
58661; 27; -24; -988
58671; 28; -27; -992
58681; 23; -19; -983
58691; 24; -18; -990
58701; 27; -24; -989
58711; 30; -21; -987
58721; 24; -24; -984
58731; 26; -21; -987
58741; 22; -17; -989
58751; 23; -17; -992
58761; 30; -23; -986
58771; 34; -27; -987
58781; 33; -22; -988
58791; 28; -18; -988
58801; 23; -19; -994
58811; 25; -25; -994
58821; 23; -28; -989
